Year,Continent,Value
1961,Africa,1649289.4
1961,Asia,6460379.5
1961,Europe,15274830
1961,North America,18994628
1961,Oceania,2142625
1961,South America,5612944.8
1962,Africa,1643130.2
1962,Asia,7211527.23
1962,Europe,15815047
1962,North America,19162564
1962,Oceania,2392765
1962,South America,5932408.5
1963,Africa,1690196.84
1963,Asia,8855048.86
1963,Europe,15951313
1963,North America,20111485
1963,Oceania,2520343
1963,South America,6234541
1964,Africa,1769725.9
1964,Asia,10288976
1964,Europe,16433218
1964,North America,21377060
1964,Oceania,2615573
1964,South America,5769635
1965,Africa,1840675.34
1965,Asia,11293974
1965,Europe,17105192
1965,North America,21177610
1965,Oceania,2631860
1965,South America,6004560.5
1966,Africa,1859734.16
1966,Asia,12007984.5
1966,Europe,17676903
1966,North America,22067409
1966,Oceania,2584726
1966,South America,6395906.2
1967,Africa,1871244.78
1967,Asia,12521660.5
1967,Europe,18482136
1967,North America,23101291
1967,Oceania,2577475
1967,South America,6707149.5
1968,Africa,1940713.58
1968,Asia,12598846.5
1968,Europe,19367694
1968,North America,23517832
1968,Oceania,2780139
1968,South America,7046155.8
1969,Africa,2081343.2
1969,Asia,12664366
1969,Europe,19634071
1969,North America,23753451
1969,Oceania,2873479
1969,South America,7610520.5
1970,Africa,2089960.98
1970,Asia,12975790.5
1970,Europe,20637692
1970,North America,24693920
1970,Oceania,3070321
1970,South America,7551640.2
1971,Africa,2157525.46
1971,Asia,14272089.7
1971,Europe,21355067
1971,North America,25547776
1971,Oceania,3239066.5
1971,South America,6993356
1972,Africa,2246028.37
1972,Asia,15310563.3
1972,Europe,21683440
1972,North America,25521971
1972,Oceania,3536786
1972,South America,7401764.8
1973,Africa,2298607.6
1973,Asia,15570779.9
1973,Europe,22594017
1973,North America,24579300
1973,Oceania,3622845
1973,South America,7450386
1974,Africa,2320697.95
1974,Asia,15994632
1974,Europe,24352769
1974,North America,26136853.9
1974,Oceania,3173291
1974,South America,7496518
1975,Africa,2319574.9
1975,Asia,16384053
1975,Europe,24456225
1975,North America,25661462.9
1975,Oceania,3511328
1975,South America,8065792
1976,Africa,2454369.5
1976,Asia,16453172
1976,Europe,24778813
1976,North America,27885701
1976,Oceania,4020186
1976,South America,8815656
1977,Africa,2574446.75
1977,Asia,16872418
1977,Europe,25215288.5
1977,North America,28204862
1977,Oceania,4074278
1977,South America,9099302
1978,Africa,2725090.2
1978,Asia,18122635
1978,Europe,26152564.4
1978,North America,28103778.8
1978,Oceania,4291596
1978,South America,9687774.5
1979,Africa,2843732
1979,Asia,20621245.06
1979,Europe,27460581.2
1979,North America,28369156.8
1979,Oceania,4086631
1979,South America,10030177.5
1980,Africa,2933204.38
1980,Asia,22333630.1
1980,Europe,28081492
1980,North America,29551742
1980,Oceania,3780499
1980,South America,10433876
1981,Africa,2940147.4
1981,Asia,23323138.7
1981,Europe,27807482.8
1981,North America,30201649
1981,Oceania,3803545
1981,South America,10941240
1982,Africa,3141687.82
1982,Asia,24805193.5
1982,Europe,27550047.5
1982,North America,29660230
1982,Oceania,3841565
1982,South America,10612362
1983,Africa,3315172
1983,Asia,25707155
1983,Europe,27907137.5
1983,North America,30839533
1983,Oceania,3917932
1983,South America,10700567
1984,Africa,3453093
1984,Asia,27709826
1984,Europe,28694998
1984,North America,31084892.5
1984,Oceania,3575078
1984,South America,10628565
1985,Africa,3540482.9
1985,Asia,30388062
1985,Europe,29192809.3
1985,North America,31545352.8
1985,Oceania,3771015
1985,South America,11138482
1986,Africa,3439017.8
1986,Asia,31988963
1986,Europe,29615132.6
1986,North America,32123321.5
1986,Oceania,3809756
1986,South America,11703758
1987,Africa,3612094.96
1987,Asia,34238001
1987,Europe,30374346.8
1987,North America,32672410.5
1987,Oceania,4064390
1987,South America,11883254
1988,Africa,3655071.3
1988,Asia,36927132
1988,Europe,30529813.8
1988,North America,33607548.8
1988,Oceania,4178242
1988,South America,12570541
1989,Africa,3770102.72
1989,Asia,38655821
1989,Europe,30018353
1989,North America,33824517
1989,Oceania,4041057
1989,South America,12816888
1990,Africa,3975364.9
1990,Asia,40864999.8
1990,Europe,31046934.5
1990,North America,34231374
1990,Oceania,4181105.2
1990,South America,13588699
1991,Africa,4188552.95
1991,Asia,42843899.24
1991,Europe,31232534.7
1991,North America,35114893
1991,Oceania,4343432.6
1991,South America,14505911.3
1992,Africa,4302343.54
1992,Asia,46100767.57
1992,Europe,30783686.5
1992,North America,36675596
1992,Oceania,4532082.8
1992,South America,14981527
1993,Africa,4743918.45
1993,Asia,50121507.02
1993,Europe,30806584.6
1993,North America,37314298
1993,Oceania,4459928.4
1993,South America,16004576.1
1994,Africa,4767954.8
1994,Asia,55179492.45
1994,Europe,30758116.4
1994,North America,38770838
1994,Oceania,4575442.4
1994,South America,17032204.9
1995,Africa,4931468.58
1995,Asia,61889554.77
1995,Europe,31294204.7
1995,North America,40368091
1995,Oceania,4587579.5
1995,South America,18508045.7
1996,Africa,4992429.02
1996,Asia,57285722.01
1996,Europe,31999721.7
1996,North America,41109377
1996,Oceania,4512203.8
1996,South America,18980604.1
1997,Africa,5612411.85
1997,Asia,64712830.2
1997,Europe,31899022.2
1997,North America,42105796
1997,Oceania,4668612
1997,South America,19397592.4
1998,Africa,5391730.62
1998,Asia,69308345.27
1998,Europe,33226903.9
1998,North America,43572900
1998,Oceania,4969981.1
1998,South America,19993235
1999,Africa,5706009.31
1999,Asia,72254393.64
1999,Europe,33157803.3
1999,North America,45190716
1999,Oceania,4866617.9
1999,South America,21658520.5
2000,Africa,5767277.02
2000,Asia,73428848.4
2000,Europe,31631998.76
2000,North America,46009589
2000,Oceania,5010671.2
2000,South America,22649556.26
2001,Africa,6091220.34
2001,Asia,75231946.68
2001,Europe,31540184.9
2001,North America,47022083
2001,Oceania,5202532.4
2001,South America,23059052.26
2002,Africa,6603974.85
2002,Asia,77507997.52
2002,Europe,32220489.15
2002,North America,47825753.5
2002,Oceania,5186732.4
2002,South America,24188538.4
2003,Africa,6583041.64
2003,Asia,80349192.15
2003,Europe,32000804.2
2003,North America,48590034
2003,Oceania,5151254.8
2003,South America,25517627.5
2004,Africa,6724590.28
2004,Asia,82647092.16
2004,Europe,31640663.6
2004,North America,49492319
2004,Oceania,5318240
2004,South America,27783551.4
2005,Africa,7050876.34
2005,Asia,86268021.82
2005,Europe,31909136.74
2005,North America,49639678
2005,Oceania,5344795
2005,South America,28106225.24
2006,Africa,7332871.43
2006,Asia,89026263.9
2006,Europe,31668519.36
2006,North America,49951438
2006,Oceania,5502204
2006,South America,29345303.8
2007,Africa,7857812.96
2007,Asia,87601510.1
2007,Europe,32954963.05
2007,North America,51580615
2007,Oceania,5587114
2007,South America,31207034.8
2008,Africa,8219198.74
2008,Asia,92656695.6
2008,Europe,32962565.8
2008,North America,53031846.5
2008,Oceania,5496579
2008,South America,32600044.7
2009,Africa,8431035.84
2009,Asia,97392179.9
2009,Europe,33212486.3
2009,North America,52009466
2009,Oceania,5357291.6
2009,South America,32651742.8
2010,Africa,8902721.81
2010,Asia,100739468.3
2010,Europe,34185973.8
2010,North America,52201052
2010,Oceania,5379877.4
2010,South America,32955402
2011,Africa,8953964.4
2011,Asia,102087642.6
2011,Europe,34697934.3
2011,North America,52784448
2011,Oceania,5394559.8
2011,South America,33912333.6
2012,Africa,9747682.1
2012,Asia,107178546.5
2012,Europe,34633029.44
2012,North America,52991515
2012,Oceania,5512078.9
2012,South America,34982643.3
2013,Africa,10324322.76
2013,Asia,110056739.5
2013,Europe,34193647.36
2013,North America,53164645.5
2013,Oceania,5896849
2013,South America,36108254.8
2014,Africa,10694453.7
2014,Asia,112528974.9
2014,Europe,34550060.8
2014,North America,53375734
2014,Oceania,6260222.7
2014,South America,36763830.4
2015,Africa,11063138.6
2015,Asia,114042231.3
2015,Europe,35737591.9
2015,North America,54085130.5
2015,Oceania,6398199.9
2015,South America,37796038.9
2016,Africa,10658547.23
2016,Asia,113562446.9
2016,Europe,36736819.8
2016,North America,55805887.5
2016,Oceania,6137910.6
2016,South America,38111491.4
2017,Africa,10910703.83
2017,Asia,115968485.1
2017,Europe,36533228.8
2017,North America,57392536
2017,Oceania,5854940.4
2017,South America,39224672.2
2018,Africa,11363340
2018,Asia,118166904.4
2018,Europe,37524180
2018,North America,58786013.5
2018,Oceania,6210468.1
2018,South America,39951420.2
2019,Africa,11854550
2019,Asia,110689033.3
2019,Europe,37598894.5
2019,North America,60524174.5
2019,Oceania,6351305.1
2019,South America,40972511.1
2020,Africa,12372341.76
2020,Asia,110524811.7
2020,Europe,34292005.56
2020,North America,59685643
2020,Oceania,6024298.1
2020,South America,41355530.4
2021,Africa,12835938.4
2021,Asia,124535650.1
2021,Europe,34000859.45
2021,North America,60098543.5
2021,Oceania,5868316.1
2021,South America,42151031.5
